idade,feminino,masculino
0,145,115
1,40919,40783
2,38506,31613
3,38997,27961
4,34791,25490
5,30455,23337
6,28401,22670
7,27466,21850
8,27839,20930
9,28709,20482
10,31629,20289
11,43024,21779
12,69940,23169
13,101257,25851
14,102149,31503
15,97760,38858
16,96976,48284
17,92356,55194
18,82051,37545
19,83755,37754
20,83910,24788
21,83072,24449
22,83032,24549
23,81670,24192
24,80642,23844
25,77619,22782
26,75828,22266
27,73975,21282
28,71622,20876
29,70063,20029
30,68891,19657
31,66819,18722
32,65230,18365
33,64223,17848
34,63629,17375
35,62334,16884
36,60190,16198
37,57917,15602
38,55977,15059
39,53783,14676
40,51776,14178
41,48494,13605
42,46073,12785
43,42528,11851
44,39776,11572
45,37062,10801
46,34109,10020
47,31810,9566
48,29737,9073
49,27427,8199
50,25553,8179
51,22991,7647
52,21416,7144
53,19321,6797
54,17750,6168
55,16249,5971
56,14897,5640
57,13598,5280
58,12226,4930
59,11354,4822
60,11517,8686
61,10305,8163
62,9406,7600
63,8878,7045
64,8500,6853
65,7996,6339
66,7381,5982
67,6916,5655
68,6556,5245
69,6146,5077
70,6170,5022
71,5658,4683
72,5458,4321
73,5282,4001
74,4991,3820
75,4661,3647
76,4636,3449
77,4397,3165
78,4059,3003
79,3870,2893
80,3790,2824
81,3564,2433
82,3262,2179
83,3095,2065
84,2867,1881
85,2601,1602
86,2383,1370
87,2109,1255
88,1848,1053
89,1607,872
90,1363,764
91,1149,621
92,997,521
93,786,406
94,625,309
95,487,251
96,404,184
97,284,122
98,219,101
99,199,77
100,116,39
